product_id,title,category,description,price
E001,4K Ultra HD Smart LED TV 55-inch,Electronics,"Experience stunning visual clarity with this 55-inch 4K Ultra HD Smart LED TV. Featuring advanced HDR technology for enhanced contrast and color accuracy, this TV delivers lifelike picture quality with deep blacks and vibrant colors. The built-in smart platform provides easy access to popular streaming services and apps. With four HDMI ports, you can connect multiple devices simultaneously. The TV includes AI-powered upscaling technology that transforms standard definition content into near-4K quality. Voice control compatibility makes navigation effortless, while the slim bezels and modern design complement any living space. The advanced motion handling technology ensures smooth action scenes and sports content.",799.99
E002,Wireless Noise-Canceling Headphones,Electronics,"Immerse yourself in pure audio bliss with these premium wireless noise-canceling headphones. Featuring advanced active noise cancellation technology that adapts to your environment, these headphones effectively block out unwanted ambient noise while preserving crystal-clear sound quality. The premium drivers deliver deep, rich bass and crisp highs for an exceptional listening experience. With up to 30 hours of battery life and quick charging capability, these headphones are perfect for long flights or daily commutes. The plush memory foam ear cushions provide lasting comfort, while the foldable design ensures easy portability. Built-in voice assistant support and touch controls make operation intuitive and convenient.",349.99
E003,Canon Professional DSLR Camera Kit,Electronics,"Capture life's precious moments with unprecedented clarity using this professional DSLR camera kit. The 24.2MP full-frame sensor delivers exceptional image quality with remarkable detail and color accuracy. The advanced autofocus system with 45 cross-type points ensures sharp focus even in challenging lighting conditions. This kit includes a versatile 24-70mm f/2.8 lens, perfect for everything from landscapes to portraits. The weather-sealed body provides durability for outdoor shooting, while the dual memory card slots offer backup peace of mind. With 4K video capabilities and high-speed continuous shooting at 10 fps, this camera is ready for any photographic situation.",1499.99
A001,Premium Wool Peacoat,Apparel,"Stay stylish and warm with this luxurious wool peacoat, crafted from the finest merino wool blend. The classic double-breasted design features authentic horn buttons and a notched lapel that exudes timeless elegance. The coat's interior is fully lined with smooth satin for comfort and easy layering. Two exterior welt pockets and an interior breast pocket provide practical storage while maintaining the coat's clean lines. The tailored fit creates a flattering silhouette, while the mid-thigh length offers optimal coverage for cold weather. Available in classic navy, this peacoat is perfect for both formal occasions and everyday wear.",299.99
E004,Smart Home Security System,Electronics,"Protect your home with this comprehensive smart security system that combines cutting-edge technology with user-friendly features. The package includes a hub, four door/window sensors, two motion detectors, and an HD security camera with night vision. The system connects to your home Wi-Fi and can be controlled through a smartphone app, allowing you to monitor your home from anywhere. Advanced AI algorithms help reduce false alarms while ensuring reliable threat detection. The camera features two-way audio and person detection, with cloud storage for recorded footage. The system integrates with popular smart home platforms and includes battery backup for continuous protection during power outages.",399.99
A002,Athletic Performance Running Shoes,Apparel,"Experience ultimate comfort and performance with these innovative running shoes designed for serious athletes. The proprietary cushioning system features responsive foam technology that returns energy with every stride, while the breathable mesh upper keeps feet cool during intense workouts. The shoes incorporate a carbon fiber plate for enhanced propulsion and stability, making them perfect for both training and race day. The outsole features high-traction rubber compounds strategically placed in high-wear areas for durability and grip in various conditions. The anatomically designed heel counter provides secure support while preventing blisters, and the reflective elements ensure visibility during early morning or evening runs.",159.99
E005,Gaming Laptop Pro X,Electronics,"Dominate the gaming scene with this powerful gaming laptop featuring the latest NVIDIA RTX 4080 graphics card and Intel Core i9 processor. The 17.3-inch QHD display boasts a 240Hz refresh rate and 1ms response time for ultra-smooth gameplay. Advanced cooling technology with liquid metal thermal compound keeps temperatures low even during intense gaming sessions. The per-key RGB mechanical keyboard provides tactile feedback and customizable lighting effects. With 32GB of DDR5 RAM and a 2TB NVMe SSD, loading times are virtually eliminated. The laptop includes AI-powered noise cancellation for crystal clear communication during multiplayer games, while the advanced audio system delivers immersive surround sound.",2499.99
A003,Designer Leather Crossbody Bag,Apparel,"Elevate your accessory game with this meticulously crafted leather crossbody bag. Made from premium full-grain Italian leather that develops a beautiful patina over time, this bag combines style with functionality. The adjustable strap features comfortable padding and can be worn cross-body or on the shoulder. The main compartment includes multiple organization pockets, including a padded sleeve for tablets up to 11 inches. The exterior features antique brass hardware and a convenient quick-access pocket for your phone. The water-resistant leather treatment ensures your belongings stay protected in light rain, while the YKK zippers provide smooth, reliable operation. Perfect for both daily use and special occasions.",279.99
E006,Smart Fitness Watch Pro,Electronics,"Track your wellness journey with this advanced fitness watch that combines comprehensive health monitoring with smartwatch features. The always-on AMOLED display provides crystal clear visibility in any lighting condition. Advanced sensors monitor heart rate, blood oxygen levels, sleep patterns, and stress levels 24/7. The watch includes built-in GPS for accurate route tracking and 40+ sport modes for detailed workout analysis. The battery lasts up to 14 days on a single charge, while the water resistance rating of 5ATM makes it suitable for swimming. The watch can store up to 500 songs and supports contactless payments. Real-time coaching provides actionable insights to help you achieve your fitness goals.",299.99
A004,Cashmere Blend Turtleneck Sweater,Apparel,"Wrap yourself in luxury with this sophisticated cashmere blend turtleneck sweater. Crafted from a premium blend of 70% cashmere and 30% fine merino wool, this sweater offers exceptional warmth without bulk. The ribbed turtleneck, cuffs, and hem provide a secure fit while maintaining their shape throughout the day. The classic fit is designed to flatter all body types, while the dropped shoulders add a contemporary touch. The sweater undergoes a special treatment to prevent pilling and maintain its soft texture wash after wash. Available in six versatile colors, this piece transitions seamlessly from office wear to evening occasions. The lightweight yet warm fabric makes it perfect for layering or wearing on its own.",189.99
